Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
130.0499,C00064,M-NH3+H[1+],77.9,2.35332300064783e-05,EC00059
130.04997,C00064,M-NH3+H[1+],188.4,9.35332300002756e-05,EC00057
145.0619,C00064,M-H[-],49.5,7.6466770025263e-05,EC00058
146.0653,C00064,M(C13)-H[-],49.2,7.6466770025263e-05,EC00058
147.0766,C00064,M+H[1+],187.9,0.000223533230013118,EC00057
147.07667,C00064,M+H[1+],78,0.000293533230006915,EC00059
169.0584,C00064,M+Na[1+],188,2.35332300064783e-05,EC00057
185.0323,C00064,M+K[1+],188.2,0.000423533229991335,EC00057
106.0499,C00065,M+H[1+],190,2.35332300064783e-05,EC00061
88.0393,C00065,M-H2O+H[1+],190,2.35332300064783e-05,EC00061
88.03936,C00065,M-H2O+H[1+],58,8.35332300113123e-05,EC00062
149.0449,C00072,M-CO+H[1+],46.9,0.000523533229994655,EC00063
157.0143,C00072,M-H2O-H[-],202.9,7.64667699968413e-05,EC00064
175.0247,C00072,M-H[-],62.1,0.000123533230009798,EC00065
175.0248,C00072,M-H[-],144.2,2.35332300064783e-05,EC00066
191.0197,C00072,M-H+O[-],57.4,3.35332300096525e-05,EC00065
87.0084,C00072,M-2H[2-],141.8,0.000373533230018097,EC00066
87.0089,C00072,M-2H[2-],49.7,0.00012646676998429,EC00063
104.0529,C00073,M-HCOOH+H[1+],164,2.35332300206892e-05,EC00067
106.06842,C00073,M-CO2+H[1+],163.2,5.64667699762822e-05,EC00067
132.0474,C00073,M-H2O+H[1+],138.4,0.000276466769975059,EC00068
132.0478,C00073,M-H2O+H[1+],89.7,0.000123533230009798,EC00069
133.0318,C00073,M-NH3+H[1+],163.7,2.35332300064783e-05,EC00067
148.0438,C00073,M-H[-],58.1,7.6466770025263e-05,EC00070
150.0584,C00073,M+H[1+],163.8,0.000123533230009798,EC00067
150.05844,C00073,M+H[1+],89.2,0.000163533229994073,EC00069
151.0613,C00073,M(C13)+H[1+],160.5,0.0003764667700068,EC00067
172.0403,C00073,M+Na[1+],91.8,2.35332300064783e-05,EC00069
115.0867,C00077,M-H2O+H[1+],162,0.000123533229995587,EC00071
131.0827,C00077,M-H[-],51.1,7.64667699968413e-05,EC00072
133.0972,C00077,M+H[1+],193.2,2.35332299780566e-05,EC00073
168.030211,C00077,M+K-2H[-],189.9,0.000636066460003804,EC00073
159.0917,C00078,M-HCOOH+H[1+],61.6,7.64667699968413e-05,EC00074
159.0918,C00078,M-HCOOH+H[1+],154.9,2.35332300064783e-05,EC00075
169.0756,C00078,M-H4O2+H[1+],155.8,0.0003764667700068,EC00075
187.0866,C00078,M-H2O+H[1+],61.8,2.35332300064783e-05,EC00074
188.0707,C00078,M-NH3+H[1+],155,2.35332299780566e-05,EC00075
203.0826,C00078,M-H[-],59.1,2.35332299780566e-05,EC00074
204.08586,C00078,M(C13)-H[-],59.6,0.000163533229994073,EC00074
205.0972,C00078,M+H[1+],154.9,2.35332299780566e-05,EC00075
205.09724,C00078,M+H[1+],61.3,6.35332299907532e-05,EC00074
206.1008,C00078,M(C13)+H[1+],154.8,0.000223533229984696,EC00075
219.0772,C00078,M-H+O[-],58.7,0.00033353322999119,EC00074
227.0792,C00078,M+Na[1+],156.2,2.35332299780566e-05,EC00075
243.0532,C00078,M+K[1+],156.9,0.000523533229994655,EC00075
249.0877,C00078,M+HCOO[-],58.7,0.000155000000006567,EC00074
263.1033,C00078,M+CH3COO[-],58.2,0.000105000000019118,EC00074
120.0808,C00079,M-HCOOH+H[1+],155.1,7.64667699968413e-05,EC00076
130.0652,C00079,M-H4O2+H[1+],155.3,0.000123533229981376,EC00076
130.06521,C00079,M-H4O2+H[1+],61.3,0.00013353322998455,EC00077
146.0611,C00079,M-H2O-H[-],184.1,2.35332299780566e-05,EC00078
146.0612,C00079,M-H2O-H[-],58.4,7.6466770025263e-05,EC00077
148.0757,C00079,M-H2O+H[1+],153.3,2.35332300064783e-05,EC00076
148.07576,C00079,M-H2O+H[1+],51,8.35332299971014e-05,EC00079
149.0597,C00079,M-NH3+H[1+],57.8,7.6466770025263e-05,EC00077
149.0598,C00079,M-NH3+H[1+],154.6,2.35332299780566e-05,EC00076
164.0716,C00079,M-H[-],129.2,0.000123533230009798,EC00080
164.0718,C00079,M-H[-],58.4,7.64667699968413e-05,EC00077
165.0753,C00079,M(C13)-H[-],57.7,0.000176466770000161,EC00077
166.0863,C00079,M+H[1+],154.5,2.35332299780566e-05,EC00076
167.0896,C00079,M(C13)+H[1+],154.3,7.6466770025263e-05,EC00076
180.0665,C00079,M-H+O[-],126.2,0.000133533230012972,EC00080
180.0666,C00079,M-H+O[-],58,3.35332300096525e-05,EC00077
94.0652,C00079,M-C3H4O2+H[1+],156.2,2.35332300064783e-05,EC00076
110.06,C00082,M-C3H4O2+H[1+],279.2,7.64667699968413e-05,EC00081
110.0601,C00082,M-C3H4O2+H[1+],62.9,2.35332300064783e-05,EC00082
