"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Butanoate metabolism","34","20","20","61.242","1","1","1","100","1","1","1","1","P54","EC00023;EC00024;EC00025;EC00026;EC00027;EC00028;EC00029;EC00018;EC00021;EC00022;EC000102;EC000103;EC000104;EC000105;EC000106;EC0001043;EC0001044;EC0001045;EC0001046;EC0001047;EC0001048;EC0001049;EC0001179;EC000189;EC000190;EC000191;EC000192;EC000989;EC000853;EC000854;EC000855;EC000856;EC000617;EC000618;EC000619;EC000620;EC0001162;EC0001163;EC0001164;EC0001165;EC0001166;EC0001167;EC000300;EC000301;EC000302;EC000820;EC000821;EC000822;EC000823;EC000824;EC000227;EC00042;EC00043;EC000575;EC000576;EC000577"
"Mono-unsaturated fatty acid beta-oxidation","19","4","4","4.3744","1","1","1","100","1","1","1","1","P55","EC0001352;EC0001414;EC0001415;EC00018"
"Glycosphingolipid biosynthesis - neolactoseries","16","4","4","3.2808","1","1","1","100","1","1","1","1","P56","EC00044;EC00052;EC00030"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","20","38.276","1","1","1","100","1","1","1","1","P57","EC00023;EC00024;EC00025;EC00026;EC00019;EC00020;EC00018;EC00056;EC00057;EC00058;EC00059;EC00060;EC00061;EC000898;EC0002;EC000240;EC000241;EC000660;EC000393;EC000783;EC0001142;EC0001143;EC0001144;EC0001145;EC0001146;EC0001147;EC00017;EC000161;EC000162;EC000163;EC000113;EC00048;EC00049;EC00050;EC000862"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","20","20","42.651","1","1","1","100","1","1","1","1","P58","EC000126;EC000127;EC000246;EC000207;EC000787;EC00051;EC000453;EC000454;EC000455;EC000456;EC000457;EC000205;EC000206;EC000768;EC000769;EC000761;EC000758;EC0001014;EC0001015;EC0001016;EC0001011;EC0001012;EC0001013;EC00064;EC00065;EC00066;EC00067;EC0001600;EC0001601;EC0001602;EC000169;EC000555;EC000342;EC000208;EC000209;EC000716;EC000757;EC000759;EC000760"
"D4&E4-neuroprostanes formation","37","33","33","12.03","1","1","1","100","1","1","1","1","P59","EC0001588;EC0001589;EC0001590;EC0001591;EC0001592;EC0001593;EC00064;EC00065;EC00066;EC00067;EC000342"
"Dynorphin metabolism","8","3","3","3.2808","1","1","1","100","1","1","1","1","P60","EC0001490;EC0001492;EC0001506"
"Heparan sulfate degradation","34","6","6","15.31","1","1","1","100","1","1","1","1","P61","EC000135;EC000136;EC000137;EC00033;EC00034;EC00035;EC000205;EC000206;EC00053;EC00054;EC00055;EC000119;EC000120;EC000121"
"Fatty acid oxidation, peroxisome","28","2","2","5.468","1","1","1","100","1","1","1","1","P62","EC00027;EC00028;EC00029;EC00042;EC00043"
"Polyunsaturated fatty acid biosynthesis","21","1","1","5.468","1","1","1","100","1","1","1","1","P63","EC000696;EC000697;EC000698;EC000699;EC000700"
