"","identified_name","isomer","feature","feature_mode","feature_mz","feature_rt","library_mode","library_mz","library_rt","adduct","kegg_id","mz_error_ppm","rt_error_sec","rt_error_abs_sec","unique_match","MMD"
"164","HISTAMINE",NA,"HILIC_112.0869_189.5","HILIC",112.0869,189.5,"HILIC",112.086876,200.436258,"M+H","C00388",0.214119626246424,-10.936258,10.936258,TRUE,""
"165","N-ACETYLPUTRESCINE",NA,"HILIC_113.1074_162.5","HILIC",113.1074,162.5,"HILIC",113.107312,176.599104,"M+H-H2O","C02714",0.778022202536252,-14.099104,14.099104,TRUE,""
"166","N-ACETYL-L-ALANINE","yes -but different time","HILIC_114.055_75.6","HILIC",114.055,75.6,"HILIC",114.054912,79.372296,"M+H-H2O",NA,0.771558177215507,-3.77229600000001,3.77229600000001,TRUE,""
"167","3-UREIDOPROPIONATE",NA,"HILIC_115.0503_100.7","HILIC",115.0503,100.7,"HILIC",115.050212,87.039402,"M+H-H2O","C02642",0.764883423169913,13.660598,13.660598,TRUE,""
"168","3-Methylindole",NA,"HILIC_115.0542_50.9","HILIC",115.0542,50.9,"HILIC",115.054227,49,"M+H-NH3","C08313",-0.234671951712698,1.9,1.9,TRUE,""
"169","GUANIDINOACETATE",NA,"HILIC_118.061_178.1","HILIC",118.061,178.1,"HILIC",118.061076,180.748002,"M+H","C00581",-0.64373460388299,-2.64800200000002,2.64800200000002,TRUE,""
"170","Propionylcarnitine",NA,"HILIC_118.0863_164.5","HILIC",118.0863,164.5,"HILIC",118.086257,161.9,"M+H+NH4","C03017",0.364140595894334,2.59999999999999,2.59999999999999,FALSE,""
"171","5-Aminopentanoic acid",NA,"HILIC_118.0863_164.5","HILIC",118.0863,164.5,"HILIC",118.086255,161.9,"M+H","C00431",0.381077374331778,2.59999999999999,2.59999999999999,FALSE,""
"172","GLYCINE",NA,"HILIC_120.0027_177.6","HILIC",120.0027,177.6,"HILIC",120.003164,173.18955,"M+2Na-H","C00037",-3.86656471819195,4.41045,4.41045,TRUE,""
"173","TYRAMINE",NA,"HILIC_121.0648_105.8","HILIC",121.0648,105.8,"HILIC",121.064827,113.107944,"M+H-NH3","C00483",-0.223021009964149,-7.30794400000001,7.30794400000001,TRUE,""
"174","BENZOATE",NA,"HILIC_123.0441_169","HILIC",123.0441,169,"HILIC",123.044076,167.80848,"M+H","C00539",0.195052055949847,1.19152,1.19152,TRUE,""
